ID,Resume_str,Resume_html,Category
10000250,"         HR EXECUTIVE

Summary

Ambitious HR Executive with expertise in Business Analytics and Team Leadership, focused on driving business growth and delivering measurable results.

Highlights

  Business Analytics
  Team Leadership
  Financial Modeling
  Negotiation
  CRM Tools (Salesforce)
  MS Excel (Advanced)

Accomplishments

  Secured a certificate of merit for academic excellence in consumer behaviour analysis.
  Secured a certificate of merit for academic excellence in digital marketing campaign performance.
  Awarded 'Best Presentation' for a case study on employee engagement survey.

Education

Master of Business Administration (MBA) - Specialisation: Marketing
Christ University School of Business, 2021
Aggregate: 59.4%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">HR Executive</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Ambitious HR Executive with expertise in Business Analytics and Team Leadership, focused on driving business growth and delivering measurable results.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Business Analytics</li><li>Team Leadership</li><li>Financial Modeling</li><li>Negotiation</li><li>CRM Tools (Salesforce)</li><li>MS Excel (Advanced)</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Secured a certificate of merit for academic excellence in consumer behaviour analysis.</li><li>Secured a certificate of merit for academic excellence in digital marketing campaign performance.</li><li>Awarded 'Best Presentation' for a case study on employee engagement survey.</li></ul></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Business Administration (MBA) - Specialisation: Marketing<br>Christ University School of Business, 2021<br>Aggregate: 59.4%</p></div></div></div>",MBA
10000251,"         MARKETING INTERN

Summary

Enthusiastic BBA graduate with a keen interest in Social Media Marketing and CRM Software, seeking an entry-level management or sales role.

Highlights

  Social Media Marketing
  CRM Software
  Presentation Skills
  Communication Skills
  Time Management
  Retail Operations

Accomplishments

  Successfully led a team of 2 students in a group project on brand positioning strategy.
  Secured a certificate of merit for academic excellence in sales forecasting.
  Secured a certificate of merit for academic excellence in customer satisfaction survey.

Education

Bachelor of Business Administration (BBA)
IBS Business School, 2022
Aggregate: 66.13%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Marketing Intern</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Enthusiastic BBA graduate with a keen interest in Social Media Marketing and CRM Software, seeking an entry-level management or sales role.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Social Media Marketing</li><li>CRM Software</li><li>Presentation Skills</li><li>Communication Skills</li><li>Time Management</li><li>Retail Operations</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Successfully led a team of 2 students in a group project on brand positioning strategy.</li><li>Secured a certificate of merit for academic excellence in sales forecasting.</li><li>Secured a certificate of merit for academic excellence in customer satisfaction survey.</li></ul></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Business Administration (BBA)<br>IBS Business School, 2022<br>Aggregate: 66.13%</p></div></div></div>",BBA
10000252,"         DATA ANALYST

DATA ANALYST

Summary

Motivated computer applications graduate with hands-on project experience in Machine Learning basics and Node.js, eager to contribute to a dynamic development team.

Highlights

  Machine Learning basics
  Node.js
  Spring Boot
  Data Analytics
  Python
  Cloud Computing (AWS/Azure)

Accomplishments

  Successfully led a team of 4 students in a group project on inventory management system.
  Secured a certificate of merit for academic excellence in e-commerce web application development.

Experience

Web Developer
Infosys -- 2019
Worked on tasks involving DBMS, Java, Software Testing. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 18 months of practical exposure to the MCA domain.

Education

Master of Computer Applications (MCA)
BMS Institute of Technology, 2021
Aggregate: 70.99%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Data Analyst</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Motivated computer applications graduate with hands-on project experience in Machine Learning basics and Node.js, eager to contribute to a dynamic development team.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Machine Learning basics</li><li>Node.js</li><li>Spring Boot</li><li>Data Analytics</li><li>Python</li><li>Cloud Computing (AWS/Azure)</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Successfully led a team of 4 students in a group project on inventory management system.</li><li>Secured a certificate of merit for academic excellence in e-commerce web application development.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Web Developer<br>Infosys -- 2019<br>Worked on tasks involving DBMS, Java, Software Testing. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 18 months of practical exposure to the MCA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Computer Applications (MCA)<br>BMS Institute of Technology, 2021<br>Aggregate: 70.99%</p></div></div></div>",MCA
10000253,"         SOFTWARE TESTER

Summary

Diligent computer applications graduate proficient in Git, HTML/CSS and MS Office, eager to apply academic knowledge in a real-world IT role.

Highlights

  Git
  HTML/CSS
  MS Office
  MySQL
  Data Structures
  WordPress

Accomplishments

  Completed a live project on attendance tracking app as part of the final semester curriculum.
  Secured a certificate of merit for academic excellence in student database management system.

Experience

Database Assistant
HCL Technologies -- 2018
Worked on tasks involving Operating Systems, Networking Basics, Java. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 19 months of practical exposure to the BCA domain.

Education

Bachelor of Computer Applications (BCA)
St. Joseph's College of Commerce, 2021
Aggregate: 64.26%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Software Tester</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Diligent computer applications graduate proficient in Git, HTML/CSS and MS Office, eager to apply academic knowledge in a real-world IT role.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Git</li><li>HTML/CSS</li><li>MS Office</li><li>MySQL</li><li>Data Structures</li><li>WordPress</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Completed a live project on attendance tracking app as part of the final semester curriculum.</li><li>Secured a certificate of merit for academic excellence in student database management system.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Database Assistant<br>HCL Technologies -- 2018<br>Worked on tasks involving Operating Systems, Networking Basics, Java. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 19 months of practical exposure to the BCA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Computer Applications (BCA)<br>St. Joseph's College of Commerce, 2021<br>Aggregate: 64.26%</p></div></div></div>",BCA
10000254,"         BUSINESS DEVELOPMENT EXECUTIVE

Summary

Ambitious Business Development Executive with expertise in Financial Modeling and Budgeting & Forecasting, focused on driving business growth and delivering measurable results.

Highlights

  Financial Modeling
  Budgeting & Forecasting
  Strategic Planning
  Team Leadership
  Client Relationship Management
  Digital Marketing
  Market Research
  Stakeholder Management

Accomplishments

  Completed a live project on consumer behaviour analysis as part of the final semester curriculum.
  Recognized for outstanding performance during a 5-month internship at Axis Bank.
  Secured a certificate of merit for academic excellence in employee engagement survey.

Experience

HR Generalist
Capgemini -- 2019
Worked on tasks involving Project Management, Financial Modeling, Budgeting & Forecasting. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 7 months of practical exposure to the MBA domain.

Education

Master of Business Administration (MBA) - Specialisation: Finance
Christ University School of Business, 2023
Aggregate: 84.52%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Business Development Executive</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Ambitious Business Development Executive with expertise in Financial Modeling and Budgeting & Forecasting, focused on driving business growth and delivering measurable results.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Financial Modeling</li><li>Budgeting & Forecasting</li><li>Strategic Planning</li><li>Team Leadership</li><li>Client Relationship Management</li><li>Digital Marketing</li><li>Market Research</li><li>Stakeholder Management</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Completed a live project on consumer behaviour analysis as part of the final semester curriculum.</li><li>Recognized for outstanding performance during a 5-month internship at Axis Bank.</li><li>Secured a certificate of merit for academic excellence in employee engagement survey.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>HR Generalist<br>Capgemini -- 2019<br>Worked on tasks involving Project Management, Financial Modeling, Budgeting & Forecasting. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 7 months of practical exposure to the MBA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Business Administration (MBA) - Specialisation: Finance<br>Christ University School of Business, 2023<br>Aggregate: 84.52%</p></div></div></div>",MBA
10000255,"         DATA ANALYST

Summary

Motivated computer applications graduate with hands-on project experience in REST APIs and React JS, eager to contribute to a dynamic development team.

Highlights

  REST APIs
  React JS
  DBMS
  Data Structures
  Linux
  Python

Accomplishments

  Secured a certificate of merit for academic excellence in machine learning based recommendation engine.
  Successfully led a team of 2 students in a group project on online examination portal.
  Successfully led a team of 2 students in a group project on online examination portal.

Experience

System Analyst
Axis Bank -- 2021
Worked on tasks involving JavaScript, Git, Linux. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 19 months of practical exposure to the MCA domain.

Education

Master of Computer Applications (MCA)
Christ University, School of Computer Science, 2022
Aggregate: 77.05%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Data Analyst</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Motivated computer applications graduate with hands-on project experience in REST APIs and React JS, eager to contribute to a dynamic development team.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>REST APIs</li><li>React JS</li><li>DBMS</li><li>Data Structures</li><li>Linux</li><li>Python</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Secured a certificate of merit for academic excellence in machine learning based recommendation engine.</li><li>Successfully led a team of 2 students in a group project on online examination portal.</li><li>Successfully led a team of 2 students in a group project on online examination portal.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>System Analyst<br>Axis Bank -- 2021<br>Worked on tasks involving JavaScript, Git, Linux. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 19 months of practical exposure to the MCA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Computer Applications (MCA)<br>Christ University, School of Computer Science, 2022<br>Aggregate: 77.05%</p></div></div></div>",MCA
10000256,"         BOOKKEEPER

Summary

Organized Bookkeeper with a strong understanding of accounting principles and hands-on exposure to Bookkeeping.

Highlights

  Bookkeeping
  Income Tax Returns
  Financial Accounting
  Invoicing
  MS Excel

Accomplishments

  Actively participated in college-level workshops and seminars related to working capital management.
  Recognized for outstanding performance during a 5-month internship at Regional Marketing Agency.
  Actively participated in college-level workshops and seminars related to ratio analysis of listed companies.

Education

Bachelor of Commerce (B.Com)
Christ University, B.Com Program, 2024
Aggregate: 89.97%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Bookkeeper</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Organized Bookkeeper with a strong understanding of accounting principles and hands-on exposure to Bookkeeping.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Bookkeeping</li><li>Income Tax Returns</li><li>Financial Accounting</li><li>Invoicing</li><li>MS Excel</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Actively participated in college-level workshops and seminars related to working capital management.</li><li>Recognized for outstanding performance during a 5-month internship at Regional Marketing Agency.</li><li>Actively participated in college-level workshops and seminars related to ratio analysis of listed companies.</li></ul></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Commerce (B.Com)<br>Christ University, B.Com Program, 2024<br>Aggregate: 89.97%</p></div></div></div>",BCOM
10000257,"         COMPUTER OPERATOR

COMPUTER OPERATOR

Summary

Fresh BCA graduate with practical exposure to Web Development and HTML/CSS, looking to start a career in software development.

Highlights

  Web Development
  HTML/CSS
  Networking Basics
  MySQL
  Bootstrap

Accomplishments

  Actively participated in college-level workshops and seminars related to student database management system.
  Actively participated in college-level workshops and seminars related to responsive portfolio website.
  Successfully led a team of 3 students in a group project on responsive portfolio website.

Experience

Computer Operator
Wipro -- 2020
Worked on tasks involving MySQL, Data Structures, Bootstrap. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 12 months of practical exposure to the BCA domain.

Programmer Analyst Trainee
Flipkart -- 2023
Worked on tasks involving Web Development, Python, Bootstrap. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 16 months of practical exposure to the BCA domain.

Education

Bachelor of Computer Applications (BCA)
St. Joseph's College of Commerce, 2020
Aggregate: 62.51%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Computer Operator</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Fresh BCA graduate with practical exposure to Web Development and HTML/CSS, looking to start a career in software development.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Web Development</li><li>HTML/CSS</li><li>Networking Basics</li><li>MySQL</li><li>Bootstrap</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Actively participated in college-level workshops and seminars related to student database management system.</li><li>Actively participated in college-level workshops and seminars related to responsive portfolio website.</li><li>Successfully led a team of 3 students in a group project on responsive portfolio website.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Computer Operator<br>Wipro -- 2020<br>Worked on tasks involving MySQL, Data Structures, Bootstrap. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 12 months of practical exposure to the BCA domain.<br><br>Programmer Analyst Trainee<br>Flipkart -- 2023<br>Worked on tasks involving Web Development, Python, Bootstrap. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 16 months of practical exposure to the BCA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Computer Applications (BCA)<br>St. Joseph's College of Commerce, 2020<br>Aggregate: 62.51%</p></div></div></div>",BCA
10000258,"         HR TRAINEE

Summary

Proactive HR Trainee with strong communication skills and internship exposure in Customer Service.

Highlights

  Customer Service
  Social Media Marketing
  Market Research
  CRM Software
  Event Management
  Basic Accounting
  MS Office
  Presentation Skills

Accomplishments

  Recognized for outstanding performance during a 2-month internship at ABC Retail Pvt Ltd.
  Successfully led a team of 4 students in a group project on sales forecasting.
  Awarded 'Best Presentation' for a case study on social media marketing campaign.
  Successfully led a team of 3 students in a group project on retail store operations.

Experience

Marketing Associate
Byju's -- 2023
Worked on tasks involving Communication Skills, Sales Strategy, Event Management. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 20 months of practical exposure to the BBA domain.

Education

Bachelor of Business Administration (BBA)
Christ University School of Business, 2022
Aggregate: 75.19%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">HR Trainee</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Proactive HR Trainee with strong communication skills and internship exposure in Customer Service.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Customer Service</li><li>Social Media Marketing</li><li>Market Research</li><li>CRM Software</li><li>Event Management</li><li>Basic Accounting</li><li>MS Office</li><li>Presentation Skills</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Recognized for outstanding performance during a 2-month internship at ABC Retail Pvt Ltd.</li><li>Successfully led a team of 4 students in a group project on sales forecasting.</li><li>Awarded 'Best Presentation' for a case study on social media marketing campaign.</li><li>Successfully led a team of 3 students in a group project on retail store operations.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Marketing Associate<br>Byju's -- 2023<br>Worked on tasks involving Communication Skills, Sales Strategy, Event Management. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 20 months of practical exposure to the BBA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Business Administration (BBA)<br>Christ University School of Business, 2022<br>Aggregate: 75.19%</p></div></div></div>",BBA
10000259,"         WEB DESIGNER

WEB DESIGNER

Summary

Fresh BCA graduate with practical exposure to PHP and Data Structures, looking to start a career in software development.

Highlights

  PHP
  Data Structures
  Software Testing
  Web Development
  JavaScript

Accomplishments

  Awarded 'Best Presentation' for a case study on responsive portfolio website.
  Completed a live project on library management system as part of the final semester curriculum.
  Successfully led a team of 4 students in a group project on library management system.

Experience

Front End Developer
Reliance Retail -- 2023
Worked on tasks involving Python, JavaScript, Java. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 10 months of practical exposure to the BCA domain.

Education

Bachelor of Computer Applications (BCA)
Jain University, 2023
Aggregate: 86.99%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Web Designer</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Fresh BCA graduate with practical exposure to PHP and Data Structures, looking to start a career in software development.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>PHP</li><li>Data Structures</li><li>Software Testing</li><li>Web Development</li><li>JavaScript</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Awarded 'Best Presentation' for a case study on responsive portfolio website.</li><li>Completed a live project on library management system as part of the final semester curriculum.</li><li>Successfully led a team of 4 students in a group project on library management system.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Front End Developer<br>Reliance Retail -- 2023<br>Worked on tasks involving Python, JavaScript, Java. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 10 months of practical exposure to the BCA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Computer Applications (BCA)<br>Jain University, 2023<br>Aggregate: 86.99%</p></div></div></div>",BCA
10000260,"         SALES MANAGER

Summary

Ambitious Sales Manager with expertise in SEO/SEM and Financial Modeling, focused on driving business growth and delivering measurable results.

Highlights

  SEO/SEM
  Financial Modeling
  Business Analytics
  Strategic Planning
  Six Sigma Basics
  Team Leadership

Accomplishments

  Awarded 'Best Presentation' for a case study on market entry strategy for FMCG brands.
  Recognized for outstanding performance during a 4-month internship at Cognizant.
  Awarded 'Best Presentation' for a case study on market entry strategy for FMCG brands.

Education

Master of Business Administration (MBA) - Specialisation: Systems
IBS Business School, 2020
Aggregate: 61.56%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Sales Manager</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Ambitious Sales Manager with expertise in SEO/SEM and Financial Modeling, focused on driving business growth and delivering measurable results.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>SEO/SEM</li><li>Financial Modeling</li><li>Business Analytics</li><li>Strategic Planning</li><li>Six Sigma Basics</li><li>Team Leadership</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Awarded 'Best Presentation' for a case study on market entry strategy for FMCG brands.</li><li>Recognized for outstanding performance during a 4-month internship at Cognizant.</li><li>Awarded 'Best Presentation' for a case study on market entry strategy for FMCG brands.</li></ul></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Business Administration (MBA) - Specialisation: Systems<br>IBS Business School, 2020<br>Aggregate: 61.56%</p></div></div></div>",MBA
10000261,"         CUSTOMER RELATIONSHIP EXECUTIVE

Summary

Enthusiastic BBA graduate with a keen interest in Market Research and Presentation Skills, seeking an entry-level management or sales role.

Highlights

  Market Research
  Presentation Skills
  Team Coordination
  Social Media Marketing
  MS Office
  Event Management

Accomplishments

  Completed a live project on social media marketing campaign as part of the final semester curriculum.
  Recognized for outstanding performance during a 2-month internship at Flipkart.

Education

Bachelor of Business Administration (BBA)
IBS Business School, 2023
Aggregate: 70.06%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Customer Relationship Executive</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Enthusiastic BBA graduate with a keen interest in Market Research and Presentation Skills, seeking an entry-level management or sales role.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Market Research</li><li>Presentation Skills</li><li>Team Coordination</li><li>Social Media Marketing</li><li>MS Office</li><li>Event Management</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Completed a live project on social media marketing campaign as part of the final semester curriculum.</li><li>Recognized for outstanding performance during a 2-month internship at Flipkart.</li></ul></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Business Administration (BBA)<br>IBS Business School, 2023<br>Aggregate: 70.06%</p></div></div></div>",BBA
10000262,"         IT SUPPORT ENGINEER

Summary

Motivated computer applications graduate with hands-on project experience in Software Testing and Spring Boot, eager to contribute to a dynamic development team.

Highlights

  Software Testing
  Spring Boot
  SQL
  MongoDB
  Machine Learning basics
  Cloud Computing (AWS/Azure)

Accomplishments

  Awarded 'Best Presentation' for a case study on e-commerce web application development.
  Awarded 'Best Presentation' for a case study on e-commerce web application development.

Education

Master of Computer Applications (MCA)
BMS Institute of Technology, 2019
Aggregate: 79.29%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">IT Support Engineer</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Motivated computer applications graduate with hands-on project experience in Software Testing and Spring Boot, eager to contribute to a dynamic development team.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Software Testing</li><li>Spring Boot</li><li>SQL</li><li>MongoDB</li><li>Machine Learning basics</li><li>Cloud Computing (AWS/Azure)</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Awarded 'Best Presentation' for a case study on e-commerce web application development.</li><li>Awarded 'Best Presentation' for a case study on e-commerce web application development.</li></ul></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Computer Applications (MCA)<br>BMS Institute of Technology, 2019<br>Aggregate: 79.29%</p></div></div></div>",MCA
10000263,"         SYSTEM ANALYST

SYSTEM ANALYST

Summary

Enthusiastic System Analyst skilled in SQL, REST APIs and Agile Methodology, with a passion for building efficient, scalable software solutions.

Highlights

  SQL
  REST APIs
  Agile Methodology
  Data Structures
  Java
  HTML/CSS
  C++
  Machine Learning basics

Accomplishments

  Completed a live project on e-commerce web application development as part of the final semester curriculum.
  Recognized for outstanding performance during a 2-month internship at Regional Marketing Agency.

Education

Master of Computer Applications (MCA)
Christ University, School of Computer Science, 2023
Aggregate: 86.18%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">System Analyst</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Enthusiastic System Analyst skilled in SQL, REST APIs and Agile Methodology, with a passion for building efficient, scalable software solutions.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>SQL</li><li>REST APIs</li><li>Agile Methodology</li><li>Data Structures</li><li>Java</li><li>HTML/CSS</li><li>C++</li><li>Machine Learning basics</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Completed a live project on e-commerce web application development as part of the final semester curriculum.</li><li>Recognized for outstanding performance during a 2-month internship at Regional Marketing Agency.</li></ul></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Computer Applications (MCA)<br>Christ University, School of Computer Science, 2023<br>Aggregate: 86.18%</p></div></div></div>",MCA
10000264,"         PAYROLL EXECUTIVE

Summary

Organized Payroll Executive with a strong understanding of accounting principles and hands-on exposure to Income Tax Returns.

Highlights

  Income Tax Returns
  Payroll Processing
  Invoicing
  Tally ERP 9
  GST Filing
  Busy Accounting Software
  Financial Accounting
  MS Excel

Accomplishments

  Completed a live project on GST compliance for small businesses as part of the final semester curriculum.
  Successfully led a team of 2 students in a group project on audit of financial statements.

Education

Bachelor of Commerce (B.Com)
Mount Carmel College, 2019
Aggregate: 77.23%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Payroll Executive</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Organized Payroll Executive with a strong understanding of accounting principles and hands-on exposure to Income Tax Returns.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Income Tax Returns</li><li>Payroll Processing</li><li>Invoicing</li><li>Tally ERP 9</li><li>GST Filing</li><li>Busy Accounting Software</li><li>Financial Accounting</li><li>MS Excel</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Completed a live project on GST compliance for small businesses as part of the final semester curriculum.</li><li>Successfully led a team of 2 students in a group project on audit of financial statements.</li></ul></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Commerce (B.Com)<br>Mount Carmel College, 2019<br>Aggregate: 77.23%</p></div></div></div>",BCOM
10000265,"         MANAGEMENT TRAINEE

MANAGEMENT TRAINEE

Summary

Ambitious Management Trainee with expertise in CRM Tools (Salesforce) and Client Relationship Management, focused on driving business growth and delivering measurable results.

Highlights

  CRM Tools (Salesforce)
  Client Relationship Management
  Budgeting & Forecasting
  MS Excel (Advanced)
  Financial Modeling
  Strategic Planning
  SEO/SEM
  Negotiation

Accomplishments

  Secured a certificate of merit for academic excellence in consumer behaviour analysis.
  Awarded 'Best Presentation' for a case study on supply chain optimization.

Education

Master of Business Administration (MBA) - Specialisation: Systems
Symbiosis Institute of Business Management, 2021
Aggregate: 61.89%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Management Trainee</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Ambitious Management Trainee with expertise in CRM Tools (Salesforce) and Client Relationship Management, focused on driving business growth and delivering measurable results.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>CRM Tools (Salesforce)</li><li>Client Relationship Management</li><li>Budgeting & Forecasting</li><li>MS Excel (Advanced)</li><li>Financial Modeling</li><li>Strategic Planning</li><li>SEO/SEM</li><li>Negotiation</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Secured a certificate of merit for academic excellence in consumer behaviour analysis.</li><li>Awarded 'Best Presentation' for a case study on supply chain optimization.</li></ul></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Business Administration (MBA) - Specialisation: Systems<br>Symbiosis Institute of Business Management, 2021<br>Aggregate: 61.89%</p></div></div></div>",MBA
